OBJECTID,Shape,imperdible,cod_comuna,cod,nombre_sitio,tipo_atractivo,orden_visualizacion,direccion,sitio_web,nombre_comuna,cod_barrio,barrio,x_origen_nacional,y_origen_nacional,latitud,longitud
81,"(4715017.989200002, 2248548.3555000033)",NO,10,AT081,Plaza Mayor Medellín Convenciones y Exposiciones,Otro,100,CL 41 No. 55-80,https://www.medellin.travel/plaza-mayor-convenciones-y-exposiciones/,La Candelaria,Inst_16,La Alpujarra,4715017.9892,2248548.3555,6.24310303,-75.57641602
82,"(4715437.7801, 2250119.325700002)",NO,10,AT082,Plaza Minorista José María Villa,Plaza de mercado,30,CL 55 A No. 57-80,https://www.plazaminorista.com/sitio/inicio,La Candelaria,1006,San Benito,4715437.7801,2250119.3257,6.25732422,-75.57269287
83,"(4714595.3336, 2247774.0363000035)",NO,16,AT083,Pueblito Paisa,Plaza,92,CL 30 No. 55 - 64,https://www.medellin.travel/pueblito-paisa-cerro-nutibara/,Belén,Inst_18,Cerro Nutibara,4714595.3336,2247774.0363,6.23608398,-75.5802002
84,"(4715094.074100001, 2247528.5544000007)",NO,16,AT084,Puente de Guayaquil,Otro,10,Avenida Regional con la CR 51, ,Belén,Inst_18,Cerro Nutibara,4715094.0741,2247528.5544,6.23388672,-75.57568359
85,"(4710526.831800001, 2248860.816299999)",NO,13,AT085,Santuario Santa Laura Montoya,Convento,12,CR 92 No. 34D - 21, ,San Javier,1311,Belencito,4710526.8318,2248860.8163,6.24572754,-75.61700439
86,"(4716333.5549, 2249561.353)",NO,10,AT086,Teatro Lido,Teatro,14,CR 48 No. 54 - 20,https://www.medellin.travel/teatro-lido/,La Candelaria,1018,Villa Nueva,4716333.5549,2249561.353,6.25231934,-75.5645752
87,"(4714889.631200001, 2248548.9836999997)",NO,10,AT087,Teatro Metropolitano de Medellín José Gutiérrez Gómez,Teatro,48,CL 41 No. 57 - 30,https://www.teatrometropolitano.com/,La Candelaria,Inst_16,La Alpujarra,4714889.6312,2248548.9837,6.24310303,-75.57757568
88,"(4716925.4429, 2249025.1318999995)",NO,10,AT088,Teatro Pablo Tobón Uribe,Teatro,32,CR 40 No. 51 - 24,https://www.teatropablotobon.com/,La Candelaria,1016,Boston,4716925.4429,2249025.1319,6.24749756,-75.5592041
89,"(4716773.944600001, 2249822.4996000007)",NO,10,AT089,Teatro Prado el Águila Descalza,Teatro,12,CR 45d No. 59 - 01,https://www.aguiladescalza.com.co/,La Candelaria,1017,Los Ángeles,4716773.9446,2249822.4996,6.25469971,-75.56060791
90,"(4713518.877700002, 2250061.242299998)",NO,11,AT090,Unidad Deportiva Atanasio Girardot,Otro,54,Entre CRs 70 y 74 y CLs 48 y 50,https://www.medellin.travel/unidad-deportiva-atanasio-girardot/,Laureles Estadio,Inst_14,U.D. Atanasio Girardot,4713518.8777,2250061.2423,6.25671387,-75.59002686
91,"(4713784.636000001, 2247778.010300001)",NO,16,AT091,Unidad Deportiva de Belén Andrés Escobar Saldarriaga,Estadio,20,CR 66 B No. 31 A - 15,https://filmedellin.com/locaciones/unidad-deportiva-de-belen/,Belén,1602,Rosales,4713784.636,2247778.0103,6.23608398,-75.58752441
92,"(4716032.797300001, 2244674.9978)",NO,14,AT092,Vía Primavera,Avenida y calle,22,CR 37 No. 9 A, ,El Poblado,1418,El Poblado,4716032.7973,2244674.9978,6.20812988,-75.56707764
